theme	top_25_tweets
AntiFossilFuelInfrastructure	"Shame on you, Rep. Herrell. New Mexico deserves better. Our families deserve someone who will fight for our future and our communities

For far too long, our communities and environment in the South have been sold out to big Oil and Gas - we must stop that!"
DemandClimateActionFromLeaders	"🚨 10,000 Actions Needed 🚨

Corporate polluters are trying to cut through Southwest Virginia with a dirty pipeline. They already have a history of violations and have racked up millions in fines, but our Water Control Board can stop them. 

Tell the Water Control Board to say NO to MVP’s permit to pollute."
PublicLandExploitation	Tell the USDA: No Development In The Tongass National Forest.
AntiFossilFuelInfrastructure	"New York Republican Chairman Nick Langworthy will continue his statewide “Just Say No” tour to Rockland County to highlight the Party’s opposition to the November election ballot propositions. #JustSayNoNY 

Rockland County Republican Party
Ed Day
Assemblyman Mike Lawler. "
BuildBackBetterActCampaign	Help Audubon expand common-sense and inexpensive practices such as covering oil pits to save millions of our birds from harm. Act now to support strengthening protections for birds under the MBTA today.
OilAndGasBoostEconomy	If City Council passes Ordinance No. 5782, it would cost local jobs and stifle growth by preventing local businesses like gas stations from maintaining or expanding their underground systems.
GreenEnergyCreatesJobs	Coal-based electricity has been a low-cost and resilient source of electricity for several decades, but as homeowners worry about rising costs of energy, coal is being attacked.
RenewableEnergyPromotionAndGrowth	ICYMI: a couple of months ago our very own Jeff Jarrett purchased his very own solar generation system. Today we're re-sharing his story about how he came into the solar industry and why solar makes sense numbers-wise for so many customers.
AbandonedWells	"“I was in the refinery’s central control room during Hurricane Delta when a call came in over the radio from the Sheriff’s Department. They called us at the refinery to ask if anyone there could help rescue a woman and her two dogs trapped in a flooded car on Old Spanish Trail not far from the refinery. The Sheriff’s Department and Westlake Fire Department couldn’t reach the individual and they asked us for help.” ~Sean Smith, Operations Manager, Phillips 66 Lake Charles Refinery

“Without hesitation, the three of us jumped into the refinery’s high-clearance fire truck and drove to the scene. Driving at night with high winds and severe flooding, there were several road hazards. We even had to swerve to avoid a trampoline that was in the middle of the road. We quickly spotted the car that was submerged in about four feet of water.” ~Chris Dailey, Safety and Emergency Response Team Lead, Phillips 66 Lake Charles Refinery

“We were able to pull the woman and her two dogs from the car, and then transport her to the local Westlake Fire Station. Even though the Fire Station was less than two miles from the refinery, our trip there was anything but easy, we had to maneuver through 45-mph winds and downed power lines. Ironically, on the way back to the Fire Station, the dogs were calm - albeit wetter than normal.” ~Zach Evans, HSE Specialist, Phillips 66 Lake Charles Refinery

Sean, Chris, and Zach's stories are  part of our ""Humans of the Industry"" series."
BellbrookWokeRadicals	Republicans and “Big Lie” conservatives have already proven that they are ready to overthrow the government to maintain power. The question that remains is if everyone else is willing to stand aside and let them.
RestoreVirginia	Concern for community is at the core of everything co-ops do! So, when Ralls County Electric Cooperative learned their neighbors need access to reliable, affordable broadband they decided to rise to the challenge. https://bit.ly/2WBifTl #RuralBroadband #ConcernForCommunity. 
OilAndGasSupportJobs	Stephanie Bice is committed to supporting our veterans, ending wasteful government spending, and advocating for Oklahoma oil and gas jobs that employ tens of thousands of Oklahomans. Will you support her today and help her keep fighting against the far left’s agenda? Chip in $10 to stand with Stephanie >>. 
ClimateChangeMovements	"🇺🇸  🇮🇱 Inspired by Scripture (Gen 49 & Deut 33)
Zion Oil & Gas, Inc. (OTCQX: ZNOG) envisions an Israel that is energy independent from onshore oil and gas finds that have been Biblically promised to Israel."
AbandonedWells	There’s a disaster coming for your wallets and it’s one that will have an impact on all of us.
CallToActionAgainstOilAndGasIndustries	"Today, House Democrats unveiled a bill to add four more justices to the Supreme Court, bringing the total number to 13. This action is backed by Senator Edward J. Markey , Congressman Jerry Nadler, Congressman Hank Johnson, Rep. Mondaire Jones and more. The announcement follows Biden’s decision to create a commission to study the make up of the court and advise on the necessity of more justices.

This is a clear power grab on the part of Democrats: they couldn’t get their justices confirmed, so they’re throwing a tantrum and changing the rules to add their nominees anyway. Adding 4 liberal justices will shift the balance of the court to a 7-6 liberal majority. This idea of court packing was soundly rejected as a power grab when President Franklin Roosevelt tried increasing the amount of justices to 15; it must be rejected again.

Join us in telling our representatives “NO!”

We must keep 9 justices."
CallToActionAgainstOilAndGasIndustries	"Start off the New Year by checking off a couple of your goals when you purchase a Friends of Coal license plate!

1. Support your community- local coal miners and their families ☑️ 
2. Support UK students ☑️. "
CallToActionAgainstOilAndGasIndustries	Watch LIVE as Charlie Kirk fights racist indoctrination at Minnesota State University - Mankato for the Exposing Critical Racism Tour!! #criticalracismtour #biggovsucks. 
CleanOilAndGas	The people of Oklahoma Oil & Natural Gas have provided nearly $3 million to the great works of Allied Arts in 2020 alone.
CelebrateBuildBackBetter	"Our champions in Congress aren’t afraid to Go Bold. They recognize the challenges we face, address them head on, and work tirelessly to combat climate change, create American jobs, and support a truly electric infrastructure.
 
Thank you, Senator Hassan, for your ongoing support and your work to bolster electric heavy and medium duty vehicles. Now, it's time to finish the job!"
OilAndGasSupportJobs	A non-profit trade association primarily engaged in the exploration, production, development, transportation and distribution of natural gas and oil in VA.
HazardsOfWells	Think manmade climate change is making severe weather worse? Think again. Atmospheric scientist and meteorologist Neil Frank shares the real facts about hurricanes:. 
GreenEnergyCapacity	Chevron is selling the oil that it collects from the spill, even though it’s coming from a seep prohibited by regulations. That California is allowing the company to sell oil bubbling up from a prohibited surface expression is a striking example of the state’s climate dissonance.
GreenEnergyCreatesJobs	ICYMI: a couple of months ago our very own Jeff Jarrett purchased his very own solar generation system. Today we're re-sharing his story about how he came into the solar industry and why solar makes sense numbers-wise for so many customers.
NuclearPowerEconomicBenefits	"For many of the brave women and men in our military, the mission doesn’t end when their deployment does. It just changes.
 
Watch one vet explain how he found a new home in the nuclear industry right here in Illinois."
BuildBackBetterActCampaign	"Halloween is just around the corner and we are celebrating with a spooktacular giveaway! 🎃 Enter for a chance to win a family gift pack including a $100 Texaco gas card & four Ama pizzas. The rules are simple:

👻 Follow us on Instagram
👻 Comment below what you’re dressing up as this Halloween
👻 EXTRA ENTRY: Post a photo of you (or your keiki) in a costume on your stories or feed

That’s it! 🎉 Winners will be contacted and announced on Monday, November 1. This giveaway is not sponsored, endorsed by, or associated with Instagram.

#TexacoInHawaii #Halloween #SpookySeason. "
RestoreVirginia	Nuclear carbon-free energy is critical to achieving zero-carbon targets and economic growth across the Carolinas. Learn more about why we must continue supporting this reliable energy source to reach a clean energy future.
ClimateChangeMovements	Wildlife is severely affected by reduction of rainfall and a lack of water. Click here to learn more. #ProtectWater #NMpol. 
RenewableEnergyPromotionAndGrowth	Come learn about solar at our FREE Solar 101 class. Event will be located at the SW OKC Public Library in the Conference Room. This library is a part of the Pioneer Library System. Dinner will be provided from Chick-fil-a!
BuildBackBetterActCampaign	Question 1 gives politicians the power to create retroactive laws and sets a dangerous precedent for Maine.
AbandonedWells	Historically anomalous heat and rain have overwhelmed infrastructure, and climatologists expect still worse with climate change. 
CallToActionAgainstOilAndGasIndustries	"Breaking News: Bellbrook Swim Coaches wife loses her mind
Meredith Bringner should never hold public office. Watch happens when I start asking Bringner the questions Votes want to know about her, the other candidates she supports, and comments she has made in the past two years about Vote No supporters and myself.

When the questions get too tough, Bringner supporters, in a planned response, start interrupting me, until Mrs. Johnson, flips me off, cusses at me, physically tries to take my phone, hits my hand, and tries to attack me. (It starts at 4:28 on the video)

Could you imagine if I was the one doing this? They would be going crazy.

Both Johnson’s have a history of doing this to me at public events. These people are who you never want in charge of anything.

Did Meredith try and stop Mrs.Johnson? NO.
Did she say anything after Rob Johnson had to drag his crazy out-of-control wife away? No.

The reason is the Johnson’s and the others there trying to stop me were, HER PEOPLE. Her radical supporters.

This was all planned.

Meredith Bringner is the opposite of what has made our community great. She is a radical progressive who will use the power of her office to change Bellbrook into her “woke world view.”

https://youtu.be/wlJnCQhZha0. "
TellRepToNotRaiseOilGasTaxes	For car and truck owners who keep their vehicles a long time, the arbitrary 2030 deadline will make gasoline more difficult to find (gas stations will become less common) making a perfectly functional car or truck, obsolete. For consumers unwilling or unable to buy a new electric car, used electric cars would not be readily available as they only represent less than 3% of the cars sold today. It will take another decade or so after 2030 before the used market in electric cars will have matured enough.
OilAndGasSupportJobs	As extreme weather picks up this summer, Americans across the country can depend on #natgas to provide a reliable source of #energy for hot showers and warm meals. Watch below ⬇. 
OilAndGasTaxesBad	"Read the latest breaking news.
Next thing is the teachers union will want to tax our homes 🏡 to bail out their bad financial decisions.

Just like the  Bellbrook- Sugarcreek union is demanding the community pass this unbelievable, $22,540,000.00 property tax levy,  to cover their lavish wages, Cadillac benefits, bonuses, pensions, and Pickups. 

Please join the Bellbrook-Sugarcreek Property Tax Revolt of 2021. Be a good neighbor and VOTE NO, for the 4th time on May 4th!

NO MEANS NO!

https://www.daytondailynews.com/local/teachers-pension-fund-loses-525m-on-panda-power-deal/C4ZMA4GUWVHIZH6QV4NJGGC6UI/. "
BuildBackBetterActCampaign	"The average price of gas has increased 89% over the past six months and is now over $3 a gallon in every single state—some Americans are paying over $7 a gallon!
 
President Biden continues to prioritize radical energy policies at the expense of hard-working Kansas families."
OilAndGasTaxesBad	Warm weather and no foreseeable precipitation has forced Arizona Snowbowl to indefinitely delay its opening day. 
GreenEnergySupportsCommunities	Infrastructure is more than roads and bridges. It’s a modern electric grid to keep your family safe during storms.
RenewableEnergyPromotionAndGrowth	"Find out what Government-Controlled Power means for Maine. 

Get the facts: www.maineaffordableenergy.org. "
AbandonedWells	You can save the bears of the Tongass National Forest 🐻. 
ClimateChangeDonations	Joaquin R. Gallegos ’14, who studied public health at CU Denver, was recently appointed Special Assistant to Assistant Secretary – Indian Affairs within the Department of Interior. Gallegos and other DOI appointees “work to advance President Biden’s agenda to tackle climate change, protect endangered wildlife, and honor relationships and trust responsibilities with Indigenous communities,” according to a department press release states.
CarbonEmissionReduction	Pipeline operators design the routes of their lines to limit impacts to environmentally sensitive areas and to follow existing utility corridors whenever possible.
GoBold	Protect Antarctica and secure the largest act of ocean protection in history! #CallOnCCAMLR. 
GreenEnergyCreatesJobs	"Illinois students Chase Hunter and Olivia Kocot are the recipients of Exelon’s STEM Leadership Academy award for their ""Green Queens"" effort to help fight #ClimateChange with coffee grounds! Watch their interview: https://bit.ly/3ihs7dD. "
PublicLandExploitation	"Democrats and Republicans agree: Government-Controlled Power means massive debt and higher electric bills. 

Take our poll & let us know what you think: https://bit.ly/31N2eg2. "
OilAndGasBoostEconomy	Final Day - March 17 - Learn about Zion's latest Unit Program (Stock + Warrants) to invest toward Israel's Energy Independence - https://www.zionoil.com/dspp/unit-program. 
ClimateChangeMovements	Weatherization from the wellhead to the light switch is essential to ensure that we don’t lose power again in the next freeze. Legislators will be voting this week on the winter storm bill. Let them know this is important to you: https://secure.everyaction.com/QZK_cUrvBEq0tf7zliIBug2?fbclid=IwAR3uc7BAcR5LRWoVsWFGMehqwf4pV0icYAAQs0ar7om--PCFFNvmTV0bft8. 
ClimateChangeMovements	"TPUSA LIVE is the unfiltered, grassroots alternative to mainstream media. Watch daily shows, live in-studio content from TPUSA HQ and weekly shows covering politics, pop-culture, sports and everything in-between. Tune in every weekday starting at 5 PM ET / 2 PM PT.

Check out today’s show! 

Human Events Daily host Jack Posobiec gives a shade war update, discusses what Alec Baldwin has to say about his ""movie incident,"" shares bodycam footage of the NBC producer following Kyle Rittenhouse, and more!

The TPUSA LIVE team is joined by host, Jon Root, and special guests Drew Hernandez & Christianne Allen who will talk about the Rittenhouse protests at ASU, Professor Watchlist, Christmas movies, and more!

Benny on the Block host Benny Johnson asks people in the Tampa, Florida Whole Foods what they think about paying twice as much for their Thanksgiving dinner.

We will wrap up the show with POPlitics with Alex Clark as she explains the truth about President Trump's relationship with Jeffery Epstein, Alec Baldwin playing the victim, gives a Pop Culture Rewind and more!"
AbandonedWells	"Be a voice for animals who cannot speak for themselves. As climate change destroys their homes, threatened wildlife are only becoming more vulnerable.

Consider making a monthly gift to save imperiled animals."
VirginiaConservatives	"NYGOP Chairman Nick Langworthy Kicks Off “Just Say No” Tour in Staten Island. To protect election integrity on this year’s ballot proposals, #JustSayNoNY!

Nicole Malliotakis
Staten Island Republican Party
Joe Borelli
Vito Fossella
Andrew J. Lanza
Mike Reilly
Assemblyman Michael Tannousis
David Michael Carr
Pat Rondinelli for NYC Council 49th District/North Shore for ALL. "
GreenEnergyCreatesJobs	"Today, En Nuestrxs Manos, Episode One of our new docuseries in partnership with @theredfordcenter and @LCV, Community Power, launches. This powerful piece was directed by Chispa’s very own Pita Juarez, and highlights @chispaarizona work on electric school buses in the Cartwright District.

Watch the video and join our movement at the link in our bio!"
AbandonedWells	McDonald’s employees also reported working alongside ailing co-workers and fearing retaliation from management if they speak out about safety concerns. Our story: https://capitalandmain.com/mcdonalds-stores-collect-covid-relief-funds-and-employee-safety-complaints-0504. 
OilAndGasBoostEconomy	"The Permian Basin, which accounts for just under half the nation’s rigs, added one rig to make 267 at work across the region. That’s 137 more than the 130 at work in the Permian last year.

https://www.mrt.com/business/oil/article/Permian-continues-to-account-for-about-half-16536560.php. "
ClimateChangeMovements	The California double standard: State continues to buy oil from countries with deplorable women’s rights as the U.S. celebrates 101 years of the 19th Amendment: https://bit.ly/2XMvwZR. #19thAmendment #womensrights. 
NuclearPowerOtherBenefits	We believe in treating people with respect and fairness, and doing the right thing. We take our responsibility to the community very seriously and we’re dedicated to listening, gaining and maintaining trust, and safely constructing and operating the Byhalia Connection Pipeline.
GreenEnergyCapacity	Hey, Pickaway County! We want to make sure you stay up to date on Scioto Farms Solar Project. Like our page to receive project updates and learn more about the benefits of solar power.
OilAndGasTaxesBad	American Exploration & Production Council (AXPC) is focused on reducing methane emissions from operations and supporting effective and reasonable regulation of methane that balances the essential value of US oil and natural gas production with the global challenge of addressing climate change. Like our page now to hear more about our efforts!
ClimateChangeMovements	New Mexico is nearly last for water quality and basic access to clean water. Click here to learn more. #ProtectWater #NMpol. 
GoBold	"What was left out of the reporting on the IEA report about net zero emissions?  ""To limit climate change, by 2030 the world must install the equivalent of the current largest solar park — every day. "". "
VirginiaConservatives	Safety defines our business. But not all safety hazards are on the road. #UltimateSafetyTest. 
CallToActionAgainstOilAndGasIndustries	Ned Lamont wants to extend his emergency powers in order to implement policies like masking our children! Sign the petition to stop him >>. 
GreenEnergySupportsCommunities	Love cooking with natural gas? Watch this video and learn how this affordable and reliable energy source can benefit the entire state of New York.
ClimateChangeMovements	"🚨BREAKING FROM CNN: HOPES FOR DC STATEHOOD RISE WITH DEMOCRATS BACK IN POWER 🚨

This is HUGE. If DC becomes our 51st state, we would add TWO Democrats to the U.S. Senate!

Our Democratic Majorities would be locked in for years to come!

𝐁𝐮𝐭 𝐰𝐞 𝐧𝐞𝐞𝐝 𝐚 𝐬𝐮𝐫𝐠𝐞 𝐨𝐟 𝟑𝟓,𝟎𝟎𝟎 𝐬𝐢𝐠𝐧𝐚𝐭𝐮𝐫𝐞𝐬 𝐛𝐲 𝟗𝐀𝐌 𝐭𝐨𝐦𝐨𝐫𝐫𝐨𝐰 𝐭𝐨 𝐦𝐚𝐤𝐞 𝐖𝐚𝐬𝐡𝐢𝐧𝐠𝐭𝐨𝐧, 𝐃.𝐂. 𝐚 𝐬𝐭𝐚𝐭𝐞.

This is Mitch McConnell’s worst nightmare! He’s working as hard as he can to BLOCK D.C. Statehood!

So we need your help right away: 𝐒𝐢𝐠𝐧 𝐭𝐡𝐞 𝐩𝐞𝐭𝐢𝐭𝐢𝐨𝐧 𝐭𝐨 𝐦𝐚𝐤𝐞 𝐖𝐚𝐬𝐡𝐢𝐧𝐠𝐭𝐨𝐧, 𝐃.𝐂. 𝐨𝐮𝐫 𝟓𝟏𝐬𝐭 𝐬𝐭𝐚𝐭𝐞 𝐧𝐨𝐰 >>. "
RestoreVirginia	Joaquin R. Gallegos ’14, who studied public health at CU Denver, was recently appointed Special Assistant to Assistant Secretary – Indian Affairs within the Department of Interior. Gallegos and other DOI appointees “work to advance President Biden’s agenda to tackle climate change, protect endangered wildlife, and honor relationships and trust responsibilities with Indigenous communities,” according to a department press release states.
BuildBackBetterActCampaign	Click [LEARN MORE] to be a part of this! What does safety mean to you? What does liberation mean to you?  The People's Lobby is working to build widespread support for public policies and candidates – including people from our communities – that put racial and gender justice and the needs of people and the planet before the interests of big corporations and the very rich. Click the link to sign up and learn more. 
DemandClimateActionFromLeaders	Join Erin Schrieber in supporting small businesses in our state by urging Rep. Haley Stevens to prioritize climate, jobs, and justice for Michiganders by passing the Build Back Better Act. Call now: 1-866-648-0359. 
OilAndGasBoostEconomy	"Government-Controlled Power comes with a price tag of $13,500,000,000  – three times Maine’s annual budget.  Do you think this is a good idea? 

Tell us right now: https://bit.ly/34w9wFZ. "
AbandonedWells	It's a beautiful day to inspect power lines ☀️ BGE works year-round to inspect and maintain equipment to ensure we're delivering reliable service to our customers.
RenewableEnergyPromotionAndGrowth	We’re proposing a new octane standard for American fuels. 95 RON can reduce carbon emissions without massive infrastructure investment. Learn more about 95 RON:. 
AbandonedWells	"Government Controlled Power:
1. Creates a quasi-government entity to takeover the power grid
2. Authorizes private assets to be seized through eminent domain
3. Comes with a price tag of $13,500,000,000. "
RenewableEnergyPromotionAndGrowth	Sonoma Clean Power is the public power provider for Sonoma and Mendocino Counties. We bring more power to you with our new Advanced Energy Center. Like or follow our page to find out more.
ClimateEmergency	"🚨𝐏𝐎𝐋𝐋 𝐑𝐄𝐒𝐏𝐎𝐍𝐒𝐄 𝐍𝐄𝐄𝐃𝐄𝐃 𝐁𝐘 𝟏𝟏:𝟓𝟗 𝐏𝐌🚨
Blistering heat is our planet’s dangerous new normal. We need to know whether enough people are concerned about this threat to help stop it. Responses are still missing from 36 people in your area, so speak up before it’s too late: 𝐀𝐫𝐞 𝐲𝐨𝐮 𝐜𝐨𝐧𝐜𝐞𝐫𝐧𝐞𝐝 𝐚𝐛𝐨𝐮𝐭 𝐞𝐱𝐭𝐫𝐞𝐦𝐞 𝐡𝐞𝐚𝐭 𝐜𝐚𝐮𝐬𝐞𝐝 𝐛𝐲 𝐜𝐥𝐢𝐦𝐚𝐭𝐞 𝐜𝐡𝐚𝐧𝐠𝐞?"
CallToActionAgainstOilAndGasIndustries	"Supporters of government-controlled power have ""gone out of their way to keep voters from having a say on taking on billions of dollars in new debt.”

Read more: https://bit.ly/3Digafh. "
AbandonedWells	At refineries, dedicated employees form “Hurricane Ride Out Teams” that stay at facilities throughout a storm, protecting the community, environment & integrity of critical infrastructure & working to bring operations back online as soon as it is safe to do so. #HurricaneReady. 
CallToActionAgainstOilAndGasIndustries	"Buried in the $1 trillion infrastructure bill passed by the U.S. Senate in August is a provision to test taxing drivers by the mile, with millions of dollars earmarked for states that pilot the program.

But Florida drivers already pay among the highest gas taxes and vehicle registration costs in the nation.

Florida state lawmakers need to stand up for taxpayers and reject any scheme to tax drivers by the mile. 

Add your name to the petition below rejecting a per-mile tax in Florida."
DemandClimateActionFromLeaders	This is climate change. Learn why 99% of climate scientists agree.
CleanEnergyPromotion	Utility companies want to control how you get your energy. Investing in community solar means more energy options, more yearly savings, and less dependence on coal and natural gas. Read more here: https://www.wisolarcoalition.com/community-solar. 
ClimateChangeMovements	Even as fossil fuel tax revenues plummet, Wyoming remains a rich state with no urgent reason to cut public services from struggling and vulnerable people. It also just received more than a billion dollars in federal aid. Why then, are Wyoming lawmakers eager to cut public funding? Because they want to.
RenewableEnergyEconomicBenefits	Exelon helps power the state’s economy and supports thousands of local jobs. In 2019 alone, we contributed $1 billion in Illinois property, payroll and corporate taxes. Learn more about our impact in Illinois: ExelonFacts.com. 
GreenEnergyIsCostEffective	Big Oil has known since the 1960s that burning fossil fuels damages our environment. But they've lied and ducked responsibility. So when the bill for the climate crisis comes due, who should pay?
BellbrookWokeRadicals	"Has going green become more than just a good faith effort to protect the Earth? Watch the ""Religion of Green"" mini-documentary at PragerU.com & learn more about the origins, agenda & motives of today's environmental movement."
RestoreVirginia	"Your year-end donation helps power change in 40+ countries around the globe. After enduring years of civil war in Yemen, Hanady, age 21, opened her own hair salon with a grant and training from Mercy Corps. Her income will support her family and fund her education.

Make your tax-deductible gift now and your impact will MULTIPLY with our Matching Gift Challenge >>>. "
RenewableEnergyPromotionAndGrowth	"We're excited to announce we are going on TOUR! A solar education tour to be exact. Learn about solar energy, lowering your carbon footprint and what cost savings look like with solar.

See below for what tour date works best for you!

Feb. 9th, OKC: https://fb.me/e/15BMSBgHV
Feb. 9th, Sapulpa: https://fb.me/e/12le8oE7C
Feb. 9th, Moore: https://fb.me/e/1x83B2whr
Feb. 9th, Norman Central: https://fb.me/e/3wbjT6fRt
Feb. 14th, Yukon: https://fb.me/e/16qPVW1Hc
Feb. 16th, Edmond: https://fb.me/e/16ozAbAtk
Feb. 16th, Norman East: https://fb.me/e/1aoire0zj

We can't wait to see you there! P.S. dinner will be provided by Chick-fil-A for every event date! ☀. "
RestoreVirginia	"COMED Now PAYS Homeowners for Solar Power!

See If Your Roof Qualifies HERE >  
http://bit.ly/COMEDSolarRoofQualify

NEM (Net Energy Metering) Allows homeowners who produce some or all of their electricity from solar power to use it at any time. COMED now pay homeowners for surplus solar power! You can now turn your roof into a mini power plant and SAVE THOUSANDS in the process!

Go solar now for $0 (yes you read that right)

See If Your Roof Qualifies HERE > 
http://bit.ly/COMEDSolarRoofQualify

        Reduce or eliminate power bills
·       Remove your carbon footprint
·       Increase the resale value of your home
·       Save thousands on power bills
·       Stop paying increasing energy costs

Sound too good to be true?  

Get the facts, WITHOUT the sales guy… Click HERE to Learn More > 
http://bit.ly/COMEDSolarRoofQualify. "
ClimateChangeMovements	"**Happening TONIGHT!**

Join Local 223 members in Michigan along with an all-star line up of speakers including Congresswoman Debbie Dingell (MI-12), Millie Hall, CLUW president of Michigan, Valerie King, UWUA Women's Caucus chair and Local 223, Utility Workers Union of America president Juanita Ray to celebrate women in the workforce.

Register now by calling Precious Hough at 313-377-2679 or Paula Turner at 724-347-2200."
OilAndGasBoostEconomy	Hey friends.👋 Support resilient and reliable coal energy with a personalized Friends of Coal license plate!
OilAndGasSupportJobs	"Senator Mitt Romney, several other Democrats, and some Republican Senators brought a bipartisan ""hard"" infrastructure bill to President Biden on Thursday.

""We have a deal"", President Biden said.

But House Speaker Nancy Pelosi wants to pass a much larger ""human infrastructure"" bill that's really just welfare, a bailout of poorly-run states, funds ""green energy"" to kill our American O&G industry and jobs (while foreign countries keep producing), and could possibly include funding for millions of ILLEGALS to get a ""pathway to citizenship"".

https://www.cnbc.com/2021/06/24/infrastructure-deal-talks-biden-invites-bipartisan-senators-to-white-house.html

All of this from the party that screams ""no one is above the law"", ""justice"" this and that, and ""everybody needs to pay their fair share"".

It is a testament to her lack of integrity that Pelosi can keep a straight face as she slurs about Republicans causing a ""Constitutional crisis"" when members of her party have advocated for prosecuting people who criticize lawmakers (1A), the confiscation of guns from law-abiding citizens (2A), and bypassing the due process of the 5th and 14th.

Any infrastructure bill that kills American jobs is a ""NO DEAL"" for us.

Oil & Gas Workers Association is working to secure and advance AMERICAN #oilandgas jobs. We're fighting for AMERICAN workers.

Join us and chip in to Support OGWA at 
ogwaUSA.com

#ogwausa #drilling #offshoredrilling #fracking #pipelines #energy #oilandgasindustry #oilandgasjobs #oilandgasworkers

Please Like and Follow our page. Facebook has been limiting the number of Invites we can send out to people who have reacted to our paid ads and sponsored posts ""to prevent any misuse"". This page should be over 100k Likes and Follows."
ClimateChangeMovements	"Meet Ben Gillespie, NPP’s Regional Organizing Director for Bucks and Montgomery Counties. Ben is a fervent believer in the power of the people over systems of oppression. 

Read Ben's full bio here: https://www.newpaproject.org/npp-team/. "
BuildBackBetterActCampaign	"We're returning to a state of ""normal."" Oklahoma is reopening, we're seeing solid COVID-19 vaccination rates and the school year is winding down.

Drivers hitting the road this summer will be met with higher gas prices. At the end of April, the national average for gas increased to $2.94 per gallon. Unfortunately, oil & natural gas producers have no say in the value of the product they produce — supply and demand still rule. But Oklahomans can rest assured producers, refiners and transporters are all working around the clock to ensure the needs of drivers are met daily. 

Read more from Petroleum Alliance President Brook Simmons: https://bit.ly/2SAXRQd. "
CallToActionAgainstOilAndGasIndustries	Sports has the power to unite. It also has equal power to divide. Watch the full video at PragerU.com. 
ClimateEmergency	The science is clear: There’s no time to waste. Here’s what we need to do to drive real change.
AntiFossilFuelInfrastructure	"Economist Ray Perryman: Oil demand to set record in 2022

https://www.mrt.com/insider/article/Perryman-Oil-demand-to-set-record-in-2022-16226223.php. "
RenewableEnergyPromotionAndGrowth	Her future will be here in a blink, and we're working hard to make it one with net-zero carbon emissions.
ClimateChangeMovements	"🔴 Amy Klobuchar just gave a RINGING ENDORSEMENT of The John Lewis Voting Rights Act: “𝙒𝙚 𝙢𝙪𝙨𝙩 𝙥𝙖𝙨𝙨 𝙩𝙝𝙚 𝙅𝙤𝙝𝙣 𝙇𝙚𝙬𝙞𝙨 𝙑𝙤𝙩𝙞𝙣𝙜 𝙍𝙞𝙜𝙝𝙩𝙨 𝘼𝙘𝙩. 𝙏𝙝𝙚 𝙨𝙩𝙖𝙠𝙚𝙨 𝙘𝙤𝙪𝙡𝙙 𝙣𝙤𝙩 𝙗𝙚 𝙝𝙞𝙜𝙝𝙚𝙧.”

BUT: Mitch McConnell and his corrupt Republicans announced they’re going ALL IN to kill this bill in the Senate.

So we’re power-fundraising to hit 25,000 donations today to pressure the Senate to pass the John Lewis Voting Rights Act. If we fall short, McConnell will be THRILLED! 

Do not delay, rush $10 NOW >>. "
AbandonedWells	"“Air pollution is actually a big problem here in the U.S.”,  explains NRDC staff scientist Vijay Limaye, PhD. Millions of Americans are living in areas with unsafe levels of soot and smog.

Smog forms when emissions from combusting fossil fuels react with sunlight. 

Soot is made up of tiny particles of chemicals, soil, smoke, dust, or allergens that are carried in the air.

Those particles can penetrate the lungs, enter the bloodstream and worsen bronchitis, trigger heart attacks, and even cause premature death.

Learn more about air pollution and how to protect your health in the video below ⬇️."
BellbrookWokeRadicals	There has not been a more powerful message about the crisis in Afghanistan than Jocko Willink’s. Thank you for speaking out against the media narrative!
ClimateChangeMovements	“It was like a cult. We were always being watched.” Read survivor-informed lived experiences of human trafficking compiled by Colorado Human Trafficking Council.
GreenEnergyCreatesJobs	Vision Solar, one of the fastest growing residential solar energy companies, celebrated the opening of its flagship facility in Blackwood.
TellRepToNotRaiseOilGasTaxes	"The rise in energy prices shows no signs of abating with oil jumping to three-year highs of $83 a barrel and UK gas prices jumping 20%.

https://energydigital.com/oil-and-gas/oil-and-gas-prices-surge-new-highs. "
CallToActionAgainstOilAndGasIndustries	Texas AG Ken Paxton is an aspiring Trump-Republicans and one of former President Trump’s most loyal foot soldiers. He’s abused the power of his office and worked to subvert the will of Texas voters. He’s betrayed us and he has to go. Chip in to help us give Paxton the boot.
AntiFossilFuelInfrastructure	"Hundreds of anti-voter laws are being proposed across the country, many of them targeting voters of color, young people, and new voters. The For the People Act will stop the worst of these laws. Congress must protect the freedom to vote and pass the For the People Act immediately. 

Without action, our democracy and our access to it is in serious jeopardy, which is why the Senate must ensure fair elections, protect the freedom to vote and pass the For the People Act! To take action, visit sc.org/4thepeople or text ""FTP"" to 69866 to call your Senators now. Special thanks to Geena Rocero."
GreenEnergyCapacity	"The Host Community Agreement (HCA) between the Town of Barre and Heritage Wind will bring more that $40 million in new revenue to the town over the next 25 years. 

Payments will increase annually from $1.2 million in the first year of operation to $2.1 million by year 25. These annual payments are based on the installed nameplate capacity in megawatts of the turbine model, resulting in stable, guaranteed payments each year that increase over time."
RenewableEnergyPromotionAndGrowth	Did you know natural gas can help prevent blackouts? Watch this video and learn more about this reliable energy source.
NuclearPowerEconomicBenefits	Michael Knowles and Farah Jimenez discuss Race and Culture, Thomas Sowell’s powerful analysis on why culture has a profound impact on the socioeconomic outcomes of different minority groups. Is systemic racism really to blame?
